first_name,middle_name,last_name,sex,birth_date,birth_city,birth_country,death_date,death_city,death_country
William,Michael,Garcia,M,1770-10-15,North Kenneth,Japan,1783-03-11,North Keithfurt,Portugal
Christian,Christopher,White,F,1770-08-24,Smithfort,El Salvador,1853-08-26,Dianaport,Honduras
Eric,Robert,Fisher,F,1685-12-02,South Brittneyfort,Angola,1755-03-13,South Derrick,Malaysia
Christopher,Tanya,Pena,F,1756-07-24,New James,Afghanistan,1775-03-11,Byrdfurt,French Southern Territories
William,Melissa,Weaver,M,1712-12-07,West Herbert,Uganda,1758-01-12,Johnfurt,French Guiana
Eric,Elizabeth,Villanueva,M,1739-08-23,Lake Patricia,Belgium,1791-05-29,South Geraldmouth,Sao Tome and Principe
Ernest,Crystal,Mcclain,M,1740-06-22,Nelsonton,Congo,1857-09-21,Kellychester,Guam
Brian,Marcus,Hamilton,F,1771-08-12,Janicemouth,Palestinian Territory,1913-02-16,East Walter,French Southern Territories
Jacob,Kyle,Jackson,M,1732-09-26,East Dennisport,Pitcairn Islands,1835-07-14,Kimberlyburgh,Croatia
Isaac,Taylor,Brown,M,1711-05-10,Padillafort,Ethiopia,1712-06-30,North Michael,Lebanon
Micheal,Valerie,Baker,M,1677-06-03,Port Christopherside,Botswana,1818-10-21,Jennifermouth,Guatemala
Julian,Bryan,Dixon,M,1724-12-25,Tannertown,Korea,1868-08-28,South Shelbymouth,Poland
Christopher,Elizabeth,Ball,M,1765-04-02,Courtneyfort,Guam,1780-12-18,Maloneshire,Liberia
Gary,Kristen,Jones,M,1767-11-30,Robertland,Puerto Rico,1876-10-11,Port Williamside,Dominica
Aaron,Monica,Castro,F,1758-01-14,Carlsonmouth,Estonia,1836-02-13,East Jennifer,Czech Republic
John,Dustin,Blackwell,M,1689-08-20,Gonzalezfurt,Guam,1772-12-30,Hillstad,Sri Lanka
Anthony,Robert,Anderson,F,1703-04-12,East Bruceborough,French Guiana,1730-12-17,Nathanielberg,United Arab Emirates
Stephen,Dustin,Peterson,M,1704-08-13,Lopezbury,Syrian Arab Republic,1842-06-02,South Staceyborough,Libyan Arab Jamahiriya
David,Benjamin,Strickland,F,1701-10-23,Nguyenburgh,French Southern Territories,1809-05-05,Albertbury,Philippines
Matthew,Lucas,Myers,F,1733-04-17,West Gabriel,France,1815-10-27,Cooperfurt,Brunei Darussalam
Andrew,Adrian,Patterson,M,1706-12-14,Ryanmouth,Cocos (Keeling) Islands,1826-10-06,Raymondchester,Tokelau
David,Allison,Gillespie,M,1743-02-23,Wardstad,Guernsey,1758-11-09,Bentonport,Djibouti
Ronald,Brittany,Brock,M,1772-05-09,Burnston,Cote d'Ivoire,1882-12-30,South Shawnmouth,British Indian Ocean Territory (Chagos Archipelago)
Scott,Barry,Cisneros,F,1683-10-17,Lake Andrewshire,Senegal,1810-11-26,Thomasport,Mexico
Robert,Travis,Gibbs,M,1699-05-12,South Anthony,Jordan,1801-01-26,Andreville,Montserrat
Arthur,Meredith,Mills,F,1745-03-13,North Gabrielleport,Cote d'Ivoire,1750-09-09,South Roymouth,Equatorial Guinea
Theodore,Cameron,Jackson,M,1765-11-28,Yuberg,Moldova,1837-08-02,New Kevin,Armenia
Timothy,Emily,Robinson,M,1682-01-29,Marialand,Niue,1774-01-19,New Melissa,Togo
